head,tail,label,predict
m.06mx8,m.012wgb,NA,NA
m.06mx8,m.03rj0,NA,NA
m.02ncr,m.0f2nf,NA,NA
m.01p6l6,m.0k70,NA,NA
m.025djt,m.04sqj,NA,NA
m.01nfyd3,m.0fqz6,NA,NA
m.01nfyd3,m.04ly1,NA,NA
m.03q402,m.0fs_s,NA,NA
m.03xsv3,m.050l8,NA,NA
m.03dz1z,m.09bjv,NA,NA
m.02_wgp,m.01gb54,NA,NA
m.0331xx,m.05qtj,NA,NA
m.03hm_m,m.01cx_,NA,NA
m.07317m,m.02rsc,NA,NA
m.024f_t,m.05qtj,NA,NA
m.04wsz,m.0gxj,NA,NA
m.04wsz,m.03__y,NA,NA
m.04wsz,m.01crd5,NA,NA
m.04wsz,m.05b7q,NA,NA
m.04wsz,m.0fdkl,NA,NA
m.04wsz,m.05g2v,NA,NA
m.04wsz,m.01f08r,NA,NA
m.04wsz,m.03spz,NA,NA
m.04wsz,m.04hqz,NA,NA
m.04wsz,m.07fj_,NA,NA
m.04wsz,m.06vbd,NA,/location/location/contains
m.04wsz,m.06bnz,NA,NA
m.04wsz,m.0697s,NA,NA
m.04wsz,m.01znc_,NA,NA
m.04wsz,m.03shp,NA,/location/location/contains
m.04wsz,m.03shp,NA,/location/location/contains
m.04wsz,m.03shp,NA,/location/location/contains
m.04wsz,m.03shp,NA,/location/location/contains
m.04wsz,m.03shp,NA,NA
m.04wsz,m.03shp,NA,/location/location/contains
m.0hjy,m.04c4zb4,NA,NA
m.0hjy,m.0qgpd,NA,NA
m.0hjy,m.0480f4q,NA,NA
m.0hjy,m.0dfc6,NA,NA
m.03__y,m.01kk8b,NA,NA
m.0pc9q,m.01hd58,NA,NA
m.04drtg,m.02vrh8,NA,NA
m.04drtg,m.02frhbc,NA,NA
m.090y6q,m.04y29,NA,NA
m.01513b,m.07dzf,NA,/location/administrative_division/country
m.0fpn8,m.0hptm,NA,NA
m.06dnh,m.02_286,NA,NA
m.01crd5,m.07w065,NA,NA
m.01crd5,m.0227h9,NA,NA
m.0fhzy,m.01pj7,NA,NA
m.026zsh5,m.0222qb,NA,NA
m.026zsh5,m.0fj1k9,NA,NA
m.0h353,m.0f__1,NA,/people/person/place_lived
m.0bxbr,m.04_28x,NA,NA
m.02psg0,m.03rk0,NA,/people/person/nationality
m.0d060g,m.018lc_,NA,NA
m.0d060g,m.01mb87,NA,NA
m.0d060g,m.082pc,NA,NA
m.0d060g,m.02gn_,NA,NA
m.0d060g,m.02bt0_,NA,NA
m.0d060g,m.03d29j0,NA,NA
m.0d060g,m.0wt8s,NA,NA
m.0gz59,m.05qtj,NA,NA
m.04sqj,m.0jp26,NA,NA
m.04sqj,m.078sgd,NA,NA
m.02r_l,m.01x73,NA,NA
m.09lxtg,m.02bb26,NA,NA
m.09lxtg,m.02_286,NA,NA
m.01t6b4,m.0f2wj,NA,NA
m.01t6b4,m.02_286,NA,NA
m.0r679,m.01t3jl,NA,/location/location/contains
m.0h6m_q,m.01_d4,NA,NA
m.0c6vjs,m.0_p6l,NA,NA
m.0dt59d,m.01ktz1,NA,NA
m.0jp26,m.0b90_r,NA,NA
m.03m5jfv,m.05qtj,NA,NA
m.05cgv,m.02jttf,NA,/location/location/contains
m.05cgv,m.07zbvr,NA,NA
m.05cgv,m.0n0gb,NA,NA
m.05cgv,m.0lnfy,NA,NA
m.05cgv,m.09jzlt,NA,NA
m.058b5j,m.0jgx,NA,NA
m.01z88t,m.0g0_j,NA,NA
m.01z88t,m.02gnp2,NA,NA
m.0q6pk,m.0xyzz,NA,NA
m.01s5dx,m.04y29,NA,NA
m.06bfkj,m.05qtj,NA,NA
m.02k8sc,m.0gxj,NA,NA
m.05fj6r,m.09d5h,NA,NA
m.014jy6,m.0y62n,NA,NA
m.01k1rx,m.01cx_,NA,NA
m.01k1rx,m.013yq,NA,NA
m.05hf9v,m.02xry,NA,NA
m.0clc60,m.01sn3,NA,NA
m.015h7,m.0302hx,NA,NA
m.047nl75,m.07w065,NA,NA
m.0xrrx,m.03njt_,NA,NA
m.03qhxv4,m.05qtj,NA,NA
m.03qhxv4,m.0f8l9c,NA,/people/person/nationality
m.0hvb2,m.0f2wj,NA,NA
m.026whjw,m.07t65,NA,NA
m.026whjw,m.0345h,NA,NA
m.0df0m0,m.05gfm1,NA,NA
m.02rf94y,m.03j8r8,NA,NA
m.041wm,m.035qy,NA,NA
m.02dpbd,m.0f8l9c,NA,/people/person/nationality
m.02g110,m.0fhp9,NA,NA
m.06mkj,m.0qzjl,NA,NA
m.06mkj,m.0g_gl,NA,NA
m.06mkj,m.0dtyg,NA,NA
m.06mkj,m.0q_wd,NA,NA
m.06mkj,m.034ns0,NA,NA
m.06mkj,m.01zv_,NA,/location/country/administrative_divisions
m.06mkj,m.035hm,NA,NA
m.06mkj,m.0fw4v,NA,NA
m.06mkj,m.08x83f,NA,NA
m.06mkj,m.078k2b,NA,NA
m.06mkj,m.01nwf3,NA,NA
m.06mkj,m.016d7r,NA,NA
m.06mkj,m.0g84j,NA,NA
m.06mkj,m.014l9,NA,NA
m.06mkj,m.02076r,NA,NA
m.01cp_j,m.07t65,NA,NA
m.0frbv7,m.01l63,NA,NA
m.04bj5w,m.01jr6,NA,NA
m.0dqcm,m.0f2wj,NA,NA
m.01w6sj,m.020xdk,NA,NA
m.02rsc,m.03l2n,NA,NA
m.04b0h8n,m.013l6l,NA,NA
m.0858l,m.06srk,NA,NA
m.0858l,m.07b2yw,NA,NA
m.0p_f,m.0b90_r,NA,NA
m.0830n,m.013r41,NA,NA
m.043d8g,m.07t65,NA,NA
m.043d8g,m.0430_,NA,NA
m.01w62hf,m.05fhy,NA,NA
m.0gp8h4,m.07k2d,NA,NA
m.03_j8,m.0d6lp,NA,NA
m.027zphr,m.082fr,NA,NA
m.01vtqml,m.0163t3,NA,NA
m.02vp7p1,m.03rk0,NA,NA
m.01p_6,m.01wvc7,NA,NA
m.0f1bm9,m.03spz,NA,/people/person/nationality
m.0418vd,m.01cx_,NA,NA
m.03p2k43,m.0xdhj,NA,NA
m.050llt,m.065zr,NA,NA
m.02qbzq,m.01cx_,NA,NA
m.03d6q,m.03rjj,NA,/people/person/nationality
m.0fbx6,m.05qtj,NA,NA
m.06nn1,m.03rk0,NA,NA
m.06nn1,m.06m_5,NA,NA
m.06nn1,m.06t2t,NA,NA
m.02qyrfn,m.09d5h,NA,NA
m.010pv5,m.010qbt,NA,NA
m.0p0_n,m.05l5n,NA,NA
m.021xrk,m.0f8l9c,NA,/people/person/nationality
m.05b7q,m.0hsqf,NA,/location/location/contains
m.05b7q,m.06qd3,NA,NA
m.05b7q,m.0488h_t,NA,NA
m.0xqg4,m.0xrzh,NA,NA
m.05cb70,m.05mph,NA,NA
m.0g_gl,m.0b90_r,NA,NA
m.03dq25,m.059f4,NA,NA
m.08nsz6,m.01pscq,NA,NA
m.02rkktx,m.06bnz,NA,NA
m.056gyc,m.013yq,NA,NA
m.02hdth,m.05qtj,NA,NA
m.0d6d2,m.0k049,NA,NA
m.012fs4,m.05qtj,NA,NA
m.09dyw3,m.03rjj,NA,/people/person/nationality
m.027bbv,m.045c7b,NA,NA
m.02z_pq,m.01cx_,NA,NA
m.01l8slj,m.05qtj,NA,NA
m.02tcy8,m.01qh7,NA,NA
m.0fvzg,m.01vs5c,NA,NA
m.0fvzg,m.02q36c,NA,NA
m.085gk,m.0d9jr,NA,NA
m.085gk,m.059f4,NA,NA
m.085gk,m.043_z22,NA,NA
m.02307h,m.02vtml,NA,NA
m.02307h,m.07t65,NA,NA
m.03s0w,m.0fswl2,NA,NA
m.03s0w,m.04yf_,NA,NA
m.03s0w,m.02j3w,NA,/location/location/contains
m.03s0w,m.0jpkg,NA,NA
m.03s0w,m.013l6l,NA,NA
m.03s0w,m.0svb2,NA,NA
m.03s0w,m.04c28mk,NA,NA
m.03s0w,m.04b7hcr,NA,NA
m.03s0w,m.01xssh,NA,NA
m.01jqr_5,m.0ks67,NA,NA
m.0522j_,m.0y62n,NA,NA
m.02x03jz,m.0dttf,NA,NA
m.0r68h,m.04791tq,NA,NA
m.04_zlp,m.0rsb4,NA,NA
m.02k1b,m.07grs4,NA,/location/location/contains
m.03l295,m.01_d4,NA,NA
m.055zg9,m.0k3p,NA,NA
m.055zg9,m.069j5j,NA,NA
m.021hbt,m.01cx_,NA,NA
m.0c5f66,m.03shp,NA,NA
m.0d_kd,m.0qylc,NA,NA
m.0d_kd,m.0y8bp,NA,/location/location/contains
m.0d_kd,m.0471ng,NA,NA
m.0d_kd,m.02_3xy,NA,/location/location/contains
m.0d_kd,m.022n6t,NA,NA
m.0d_kd,m.0y98v,NA,NA
m.0d_kd,m.0n6bs,NA,/location/location/contains
m.0d_kd,m.0y995,NA,NA
m.0d_kd,m.02s5s3,NA,NA
m.0d_kd,m.02_286,NA,NA
m.0d_kd,m.0y9ks,NA,NA
m.0d_kd,m.0y2vj,NA,NA
m.0d_kd,m.0y8y1,NA,NA
m.03lh3v,m.0d9jr,NA,NA
m.05s_wsk,m.0156q,NA,NA
m.01ffbn,m.01f08r,NA,NA
m.01ffbn,m.03rjj,NA,NA
m.01ffbn,m.01znc_,NA,NA
m.05l9h6,m.0345h,NA,/people/person/nationality
m.027v4n,m.01ktz1,NA,NA
m.01_f8j,m.0fn2g,NA,NA
m.01b370,m.01x73,NA,NA
m.02r0m8k,m.0345h,NA,/people/person/nationality
m.02wx6wb,m.0f8l9c,NA,NA
m.09s02,m.03rk0,NA,NA
m.06r04p,m.07z1m,NA,NA
m.01cy1c,m.07f1x,NA,NA
m.05nwr,m.06q1r,NA,NA
m.028dny,m.07z1m,NA,NA
m.07w_n,m.01kg39,NA,NA
m.07w_n,m.06bnz,NA,NA
m.0f23j,m.04bb16k,NA,NA
m.0f23j,m.0209669,NA,NA
m.02rmm1,m.02vzc,NA,NA
m.02lt8,m.07z1m,NA,NA
m.06w90hc,m.0h3y,NA,NA
m.06w90hc,m.0hzlz,NA,NA
m.051x0y,m.02y38b,NA,NA
m.05gg5b,m.0g6ff,NA,NA
m.05gg5b,m.02_286,NA,NA
m.08jbrj,m.0chghy,NA,NA
m.0c7zf,m.01kk8b,NA,NA
m.018lxn,m.03rk0,NA,/people/person/nationality
m.018lxn,m.02_286,NA,NA
m.018lxn,m.0ytzx,NA,NA
m.0n8b4,m.0k6nt,NA,/people/person/nationality
m.01w7nww,m.01nln,NA,NA
m.0czqv8,m.01n7rc,NA,NA
m.047npd6,m.02_286,NA,NA
m.02vtml,m.09vblp,NA,/location/location/contains
m.02vtml,m.04d_m,NA,NA
m.02vtml,m.04d_m,NA,NA
m.02vtml,m.04d_m,NA,NA
m.02vtml,m.04bb8y8,NA,NA
m.09t9l,m.03rjj,NA,/people/person/nationality
m.09t9l,m.0430_,NA,NA
m.03r_tz,m.03qmj9,NA,NA
m.0d6lp,m.0r5v0,NA,NA
m.0d6lp,m.06pwq,NA,NA
m.0d6lp,m.021cqx,NA,NA
m.0d6lp,m.0r6cx,NA,NA
m.0d6lp,m.043p3d6,NA,/location/location/contains
m.0d6lp,m.0r5sj,NA,NA
m.0d6lp,m.034gjn,NA,NA
m.0d6lp,m.0130g4,NA,NA
m.02_9zb,m.01cx_,NA,NA
m.01kcmr,m.01kcph,NA,NA
m.018j3w,m.01cx_,NA,NA
m.03_xj,m.0117r4,NA,NA
m.03_xj,m.0cvyp,NA,NA
m.027t7lp,m.01_d4,NA,NA
m.0d1b_,m.0165v,NA,NA
m.03_nq,m.01_d4,NA,NA
m.029tb4,m.056_y,NA,NA
m.02y38b,m.051x0y,NA,NA
m.02y38b,m.01vg13,NA,NA
m.02y38b,m.01_d4,NA,NA
m.02y38b,m.02_286,NA,NA
m.01rzfw,m.058wp,NA,NA
m.01rzfw,m.04s9n,NA,NA
m.01rzfw,m.01_d4,NA,NA
m.01pt2r,m.0165v,NA,NA
m.0djgzz,m.01b8jj,NA,NA
m.03q9jq,m.05qtj,NA,NA
m.0xy06,m.0bxsz,NA,NA
m.05wssy,m.045c7b,NA,NA
m.02qkzpj,m.03rjj,NA,/people/person/nationality
m.0mmpz,m.0d9jr,NA,NA
m.0824r,m.04yf_,NA,NA
m.0824r,m.01mp9v,NA,NA
m.0824r,m.06nz6m,NA,NA
m.0824r,m.05wfjz,NA,/location/location/contains
m.0824r,m.026vj9h,NA,NA
m.0824r,m.027ry8q,NA,NA
m.0824r,m.04y7pl,NA,NA
m.0824r,m.01dljr,NA,NA
m.0824r,m.04b7hcr,NA,NA
m.0824r,m.0vrxt,NA,NA
m.0824r,m.0z6nh,NA,NA
m.0824r,m.0fw2y,NA,NA
m.0824r,m.024mpb,NA,NA
m.0824r,m.0y1hc,NA,NA
m.02yxjf,m.01n7q,NA,NA
m.0154qm,m.01mqz0,NA,NA
m.03s9b,m.0f8l9c,NA,/people/person/nationality
m.03s9b,m.02_286,NA,NA
m.02fzrq,m.017nt,NA,NA
m.09p06,m.01cx_,NA,NA
m.0163t3,m.01vtqml,NA,NA
m.035nm,m.0wh3,NA,NA
m.02cx_2,m.01_d4,NA,NA
m.02sjp,m.05r4w,NA,/people/person/nationality
m.0gt7kg,m.0gkgp,NA,NA
m.05pg_g,m.0345h,NA,/people/person/nationality
m.0dgm0,m.0d060g,NA,NA
m.0dgm0,m.035nms,NA,NA
m.0156q,m.022f79,NA,NA
m.0156q,m.06bnz,NA,NA
m.0156q,m.0345h,NA,NA
m.016_mj,m.0824r,NA,NA
m.0bq2g,m.06q1r,NA,NA
m.0g5kyx,m.06bnz,NA,NA
m.0b1ptz,m.03shp,NA,/people/person/nationality
m.01mrvg,m.0f2wj,NA,NA
m.0cj6zf,m.03shp,NA,/people/person/nationality
m.04hljx,m.0nbwf,NA,NA
m.04hljx,m.04tgp,NA,NA
m.0xqf3,m.0479r7v,NA,NA
m.0f7v7z,m.09jcvs,NA,NA
m.0lxyn,m.0f8l9c,NA,NA
m.0l6t9,m.0c_m3,NA,NA
m.0c49t,m.0hzlz,NA,NA
m.01lmmjj,m.0b90_r,NA,NA
m.0tyfk,m.05hry3,NA,/location/location/contains
m.0b1w1t,m.0f04v,NA,NA
m.03w0hk,m.019fh,NA,NA
m.025syj,m.02q8n6c,NA,NA
m.088q4,m.0p_70,NA,NA
m.0bwc0b,m.02_286,NA,NA
m.03ycb66,m.0y62n,NA,NA
m.01x73,m.0v0_6,NA,NA
m.01x73,m.0tr3p,NA,NA
m.01x73,m.0bgrr0,NA,NA
m.01x73,m.03mb4v4,NA,NA
m.01x73,m.0rd6b,NA,NA
m.01x73,m.0gv572,NA,NA
m.01x73,m.01m230,NA,/location/location/contains
m.01x73,m.04bwldc,NA,NA
m.01x73,m.02zp1t,NA,NA
m.01x73,m.0f2nf,NA,NA
m.01x73,m.063z0x9,NA,NA
m.01x73,m.010kvx,NA,NA
m.01x73,m.024mpb,NA,NA
m.01x73,m.01m1_t,NA,NA
m.01x73,m.021gt5,NA,/location/location/contains
m.045c7b,m.0d6lp,NA,NA
m.045c7b,m.05wssy,NA,NA
m.045c7b,m.0d9jr,NA,NA
m.045c7b,m.01cx_,NA,NA
m.045c7b,m.017nt,NA,NA
m.045c7b,m.02nvhjn,NA,NA
m.045c7b,m.02r_339,NA,NA
m.045c7b,m.0fzxmd,NA,NA
m.0d77m9,m.06mkj,NA,NA
m.0d77m9,m.056_y,NA,NA
m.028rk,m.0488g,NA,NA
m.016qtt,m.0498y,NA,NA
m.07ct5_,m.0ftjx,NA,NA
m.0494n,m.060gng,NA,NA
m.03gvj21,m.0hptm,NA,NA
m.03r9dg,m.07b3y8,NA,NA
m.07ljck,m.0lnfy,NA,NA
m.05x0l4,m.02_286,NA,NA
m.0372rk,m.0dlm_,NA,NA
m.03brgx,m.0tlc9,NA,NA
m.048nq40,m.0h7h6,NA,NA
m.02fvql,m.0fn2g,NA,NA
m.02fvql,m.07f1x,NA,NA
m.04xn2m,m.01_d4,NA,NA
m.0tqj0,m.0y6ds,NA,NA
m.02ymyp,m.0y62n,NA,NA
m.0177y3,m.0f2wj,NA,NA
m.0c3mcy,m.0c7ny2,NA,NA
m.053tzp,m.0chrx,NA,NA
m.0bf6v7,m.0f8l9c,NA,NA
m.04m4p5,m.0ggh3,NA,NA
m.0k696,m.0rs_c,NA,NA
m.0jj5r,m.03hzjqf,NA,NA
m.0149xx,m.05vz3zq,NA,/people/deceasedperson/place_of_death
m.050l8,m.0yc60,NA,NA
m.050l8,m.0x335,NA,NA
m.050l8,m.04ydthn,NA,NA
m.05l2bc,m.03shp,NA,NA
m.07hq1z,m.0345h,NA,/people/person/nationality
m.0kpys,m.06t6gd,NA,NA
m.0kpys,m.02vxh5,NA,NA
m.0kpys,m.0r0dg,NA,/location/location/contains
m.018lc_,m.02wf90,NA,NA
m.05814,m.0d9jr,NA,NA
m.02zs4,m.017nt,NA,NA
m.02zs4,m.0wh3,NA,NA
m.01z5y,m.06bnz,NA,NA
m.01z5y,m.01znc_,NA,NA
m.01z5y,m.03shp,NA,NA
m.02vz89h,m.0rd6b,NA,NA
m.026h6g8,m.07wrz,NA,NA
m.0148sl,m.0f2wj,NA,NA
m.07dv8,m.033h7k,NA,NA
m.0161h5,m.0h32q,NA,NA
m.04lyk,m.038hjg,NA,NA
m.04lyk,m.0k049,NA,NA
m.016h8k,m.012wgb,NA,NA
m.03wvtbj,m.02_286,NA,NA
m.07m_f,m.0jdx,NA,NA
m.0kk9v,m.03gj2,NA,NA
m.0br3bb,m.09tlh,NA,NA
m.04lkvc,m.03qv4n,NA,NA
m.0h7k5,m.05qtj,NA,NA
m.0h7k5,m.05qtj,NA,NA
m.0pml7,m.0d060g,NA,NA
m.0nxf7,m.01l63,NA,NA
m.01531v,m.06mkj,NA,NA
m.02jhww,m.0fr0t,NA,NA
m.02msg9,m.0d9jr,NA,NA
m.02msg9,m.02_286,NA,NA
m.05kj_,m.06bw5,NA,NA
m.05kj_,m.02frhbc,NA,NA
m.05kj_,m.01z1px_,NA,NA
m.05kj_,m.0yc60,NA,NA
m.05kj_,m.02mf7,NA,NA
m.05kj_,m.0d23k,NA,NA
m.05kj_,m.02_qk_,NA,NA
m.05kj_,m.04890d7,NA,NA
m.0l2xl,m.0f04v,NA,NA
m.022w3m,m.03676,NA,NA
m.01m59w,m.01sn3,NA,NA
m.096gm,m.06c1y,NA,/location/administrative_division/country
m.04b9y9k,m.0fw4v,NA,NA
m.027f42,m.013yq,NA,NA
m.02621wv,m.075dhf0,NA,NA
m.01p1v,m.0286_jj,NA,NA
m.01p1v,m.0489xqn,NA,NA
m.01p1v,m.01zdns,NA,NA
m.01p1v,m.037dpc,NA,NA
m.01p1v,m.067kjb,NA,NA
m.0mk44,m.04b9x77,NA,NA
m.0y62n,m.0522j_,NA,NA
m.0y62n,m.051f_r,NA,/location/location/contains
m.0y62n,m.046lgs,NA,NA
m.0y62n,m.013r41,NA,NA
m.0y62n,m.05026z,NA,NA
m.0y62n,m.02_286,NA,NA
m.0y62n,m.0501s6,NA,NA
m.0y62n,m.02by5w,NA,NA
m.0y62n,m.06_4lbq,NA,NA
m.02wk38c,m.0d9jr,NA,NA
m.04m_px,m.03rjj,NA,/people/person/nationality
m.01vsl,m.018t8f,NA,NA
m.01vsl,m.07jfqvf,NA,NA
m.01vsl,m.0k9wp,NA,NA
m.0p8hy,m.0f8l9c,NA,NA
m.026m15x,m.04gqr,NA,/people/person/nationality
m.0ktf5,m.05qtj,NA,NA
m.0ktf5,m.02h6_6p,NA,NA
m.0ktf5,m.0345h,NA,/people/person/nationality
m.04b2zp1,m.0345h,NA,NA
m.0pjsf,m.0fhp9,NA,NA
m.03zy1_,m.0d9jr,NA,NA
m.026j1p_,m.02_286,NA,NA
m.02rhm2,m.0f8l9c,NA,/people/person/nationality
m.02srh_,m.05kr_,NA,NA
m.045m1_,m.03spz,NA,NA
m.013knm,m.013yq,NA,NA
m.013knm,m.0f2wj,NA,NA
m.01spc_,m.03_gx,NA,NA
m.0bszz,m.0d060g,NA,NA
m.07xkpg,m.06yxd,NA,NA
m.0257dq,m.05qtj,NA,NA
m.0btpx,m.0d6lp,NA,NA
m.04g4n,m.05qtj,NA,NA
m.02x969,m.0dttf,NA,NA
m.03864p,m.03rjj,NA,/people/person/nationality
m.0jmj7,m.0f2r6,NA,NA
m.0bv62,m.06pwq,NA,NA
m.04jlzj_,m.02_286,NA,NA
m.05n5l7g,m.0f2rq,NA,NA
m.05n5l7g,m.05n5l7n,NA,NA
m.0f04c,m.06pwq,NA,/location/location/contains
m.0q4s_,m.05qtj,NA,NA
m.0q4s_,m.0345h,NA,NA
m.0b3pq,m.02_286,NA,NA
m.03h4p0w,m.0fs54,NA,NA
m.01vsn38,m.04sqj,NA,NA
m.04r158,m.01x73,NA,NA
m.03ddgk1,m.03ghjwx,NA,NA
m.0cymp,m.0cvyp,NA,NA
m.0cymp,m.02p7y2,NA,NA
m.0cymp,m.0_w2k,NA,NA
m.0cymp,m.0yc84,NA,NA
m.0cymp,m.0ycj7,NA,NA
m.0cymp,m.0yc0w,NA,NA
m.0cymp,m.0trvg,NA,NA
m.0cymp,m.0ycjl,NA,NA
m.0cymp,m.01m2zc,NA,NA
m.0cymp,m.02s5s3,NA,NA
m.0cymp,m.02fp6q,NA,NA
m.0c7v4,m.05qtj,NA,/people/person/place_lived
m.05n8ns,m.0364bw,NA,NA
m.051f_r,m.0y62n,NA,/location/neighborhood/neighborhood_of
m.0gps8n,m.0100mt,NA,NA
m.03txms,m.0hptm,NA,NA
m.04931y5,m.06vbd,NA,NA
m.0fdkl,m.0b9cq2,NA,/location/location/contains
m.0hm0k,m.0h7h6,NA,NA
m.0d9c9c,m.02xry,NA,NA
m.09vrxp,m.02_286,NA,NA
m.0h3y,m.02w0nh,NA,NA
m.05mph,m.0gscg7,NA,NA
m.05mph,m.0x680,NA,NA
m.05mph,m.0dbxy,NA,NA
m.05mph,m.01v1r2,NA,NA
m.05mph,m.04b7hcr,NA,NA
m.05mph,m.033th4,NA,NA
m.05mph,m.03p9nc,NA,NA
m.05mph,m.05rd8,NA,NA
m.05mph,m.0gj95,NA,NA
m.05mph,m.03hnps1,NA,NA
m.05mph,m.0488g,NA,NA
m.05mph,m.0fr3_,NA,NA
m.05mph,m.0drz8,NA,NA
m.05mph,m.0chrx,NA,NA
m.04qk38,m.05bcl,NA,NA
m.04tp3y,m.011wsc,NA,NA
m.055lzr,m.03rjj,NA,NA
m.037kqv,m.04sqj,NA,NA
m.0mwt7,m.01mc11,NA,/location/location/contains
m.0c2qjg,m.0345h,NA,NA
m.048kc0,m.0k3p,NA,NA
m.03hy3,m.05bkf,NA,NA
m.01hd58,m.028mpr,NA,NA
m.01hd58,m.06gmr,NA,NA
m.06l0f,m.0345h,NA,NA
m.062fg,m.07f1x,NA,NA
m.062fg,m.0345h,NA,NA
m.044ywn,m.02_286,NA,NA
m.01v90t,m.016dql,NA,NA
m.02cts,m.03spz,NA,NA
m.02vn8c0,m.05mph,NA,NA
m.05lcjq,m.018_q8,NA,NA
m.05g2v,m.0h3y,NA,NA
m.05g2v,m.07fj_,NA,NA
m.046rfv,m.03rk0,NA,NA
m.05l33f,m.0345h,NA,NA
m.05y9x1,m.05r4w,NA,/people/person/nationality
m.03glpc,m.0f8l9c,NA,/people/person/nationality
m.03glpc,m.03rjj,NA,NA
m.09cvqr,m.0430_,NA,NA
m.065zr,m.03rk0,NA,NA
m.01rj4f,m.03s0w,NA,NA
m.01rj4f,m.07k2d,NA,NA
m.01yv6p,m.0ytzx,NA,NA
m.03n0h3,m.02_286,NA,NA
m.01tmng,m.01d_ys,NA,NA
m.02qk1vn,m.07ssc,NA,NA
m.01vvm4,m.05bkf,NA,NA
m.0n5fl,m.026w9pv,NA,NA
m.0n5fl,m.0xn7b,NA,NA
m.0r0m6,m.045c__,NA,NA
m.08vb_5,m.050l8,NA,NA
m.09bjv,m.04pcpn,NA,NA
m.09bjv,m.04hqz,NA,NA
m.09bjv,m.01q9q7,NA,NA
m.03b3j,m.01_d4,NA,NA
m.09yv3v,m.03l2n,NA,NA
m.0cpm7s,m.02_286,NA,NA
m.02jkf8,m.05qtj,NA,NA
m.0bksh,m.01n7q,NA,NA
m.0c35cs,m.01cx_,NA,NA
m.013ksx,m.02pf10,NA,/location/location/contains
m.0d9jr,m.010r6f,NA,NA
m.0d9jr,m.01db_j,NA,NA
m.0b90_r,m.01wls9,NA,NA
m.0b90_r,m.0jp26,NA,/location/location/contains
m.0b90_r,m.010bnr,NA,NA
m.0b90_r,m.0ddn38,NA,/location/location/contains
m.0b90_r,m.04b9mzm,NA,NA
m.01c29s,m.0d04z6,NA,NA
m.02frhbc,m.06bw5,NA,/location/location/contains
m.02frhbc,m.01n6r0,NA,NA
m.0ggh3,m.02183k,NA,NA
