head,tail,label,predict
Q6127781,Q208076,mountain range,mountain range
Q2981954,Q4558,mountain range,mountain range
Q7498035,Q211778,mountain range,mountain range
Q3696019,Q784189,mountain range,mountain range
Q284309,Q679384,mountain range,mountain range
Q4789420,Q1470027,mountain range,mountain range
Q6379956,Q5600192,mountain range,mountain range
Q3047978,Q394286,mountain range,mountain range
Q7507527,Q3322327,mountain range,mountain range
Q1011656,Q198007,mountain range,mountain range
Q6919866,Q1329317,mountain range,mountain range
Q159762,Q632794,mountain range,mountain range
Q1119841,Q745846,mountain range,mountain range
Q154912,Q666860,religion,religion
Q41370,Q9268,religion,religion
Q44003,Q9268,religion,religion
Q24931859,Q9232,religion,religion
Q180573,Q1841,religion,religion
Q4917978,Q82708,religion,applies to jurisdiction
Q2462345,Q9585,religion,religion
Q215530,Q9592,religion,religion
Q382488,Q9592,religion,religion
Q5622519,Q9268,religion,notable work
Q317078,Q35032,religion,member of
Q6983281,Q1189165,religion,religion
Q219639,Q23540,religion,religion
Q160445,Q1841,religion,religion
Q370115,Q748,religion,religion
Q42305,Q5043,religion,religion
Q22639414,Q682443,religion,religion
Q58052,Q1841,religion,religion
Q124831,Q5043,religion,religion
Q20310750,Q1841,religion,religion
Q289957,Q9268,religion,religion
Q9738,Q748,religion,religion
Q524388,Q9592,religion,religion
Q7931920,Q9592,religion,religion
Q359442,Q9268,religion,religion
Q531387,Q9268,religion,religion
Q472619,Q9268,religion,religion
Q193163,Q432,religion,religion
Q28370,Q748,religion,religion
Q449639,Q5043,religion,instance of
Q423755,Q1841,religion,religion
Q678692,Q1841,religion,religion
Q468308,Q748,religion,religion
Q278130,Q1841,religion,religion
Q109262,Q1841,religion,religion
Q16975,Q1841,religion,religion
Q1281212,Q9268,religion,religion
Q597526,Q1841,religion,religion
Q5331651,Q42504,religion,religion
Q191730,Q42042,religion,has part
Q150281,Q9592,religion,religion
Q193198,Q5043,religion,religion
Q1379796,Q75809,religion,part of
Q7440232,Q682443,religion,religion
Q7376908,Q42504,religion,religion
Q129857,Q9592,religion,religion
Q431193,Q5043,religion,religion
Q8023,Q33203,religion,movement
Q363729,Q9268,religion,religion
Q322578,Q9268,religion,religion
Q43739,Q9592,religion,religion
Q982197,Q42504,religion,religion
Q462463,Q747802,religion,original network
Q3898136,Q384121,religion,religion
Q353238,Q82708,religion,religion
Q12223,Q18670106,religion,contains administrative territorial entity
Q7381719,Q42504,religion,religion
Q51672,Q9268,religion,religion
Q2648074,Q1841,religion,religion
Q5326502,Q170208,religion,religion
Q193901,Q5043,religion,religion
Q1070529,Q82708,religion,part of
Q188541,Q9232,religion,religion
Q48432,Q83459,participating team,participating team
Q132664,Q83459,participating team,participating team
Q46938,Q189275,participating team,participating team
Q132533,Q79800,participating team,participating team
Q79859,Q164089,participating team,participating team
Q1477314,Q491924,participating team,participating team
Q47735,Q83459,participating team,participating team
Q15293558,Q15799,participating team,participating team
Q4630191,Q4629354,participating team,participating team
Q27908088,Q189198,participating team,participating team
Q1463422,Q221626,participating team,participating team
Q134202,Q165141,participating team,participating team
Q37285,Q543842,participating team,participating team
Q189571,Q676899,participating team,participating team
Q1447812,Q1107146,participating team,participating team
Q166121,Q47050,participating team,participating team
Q189571,Q166196,participating team,participating team
Q1477177,Q168397,participating team,participating team
Q1808572,Q223507,participating team,participating team
Q8035439,Q644290,participating team,participating team
Q47735,Q47762,participating team,participating team
Q847827,Q223522,participating team,participating team
Q8035430,Q807916,participating team,participating team
Q132515,Q172020,participating team,participating team
Q39052590,Q948900,participating team,participating team
Q131591,Q165141,participating team,participating team
Q46938,Q543842,participating team,participating team
Q37285,Q192149,participating team,participating team
Q27840108,Q1084121,participating team,participating team
Q23728326,Q1886,participating team,participating team
Q27490299,Q218883,participating team,participating team
Q13494021,Q428047,participating team,participating team
Q220231,Q134916,participating team,winner
Q182386,Q166776,participating team,participating team
Q176883,Q268208,participating team,participating team
Q27958012,Q24260869,participating team,participating team
Q102920,Q267245,participating team,participating team
Q79859,Q181930,participating team,participating team
Q13410151,Q220854,participating team,participating team
Q15810955,Q4512,participating team,participating team
Q132533,Q160826,participating team,participating team
Q47735,Q164134,participating team,participating team
Q189571,Q267245,participating team,participating team
Q27990828,Q196107,participating team,participating team
Q536715,Q104761,participating team,participating team
Q1129985,Q172020,participating team,participating team
Q182201,Q188363,participating team,participating team
Q166551,Q483868,participating team,participating team
Q206657,Q75684,participating team,participating team
Q132529,Q543842,participating team,participating team
Q131075,Q134916,participating team,participating team
Q301194,Q727147,participating team,participating team
Q4613123,Q958369,participating team,participating team
Q79859,Q166776,participating team,participating team
Q589997,Q175309,participating team,participating team
Q183674,Q164134,participating team,participating team
Q23728326,Q1543,participating team,participating team
Q101751,Q189723,participating team,participating team
Q576136,Q223748,participating team,participating team
Q23991115,Q634829,participating team,participating team
Q697143,Q29115,participating team,participating team
Q1576569,Q221626,participating team,participating team
Q121339,Q4512,participating team,participating team
Q182196,Q676899,participating team,participating team
Q132664,Q43310,participating team,participating team
Q13410151,Q274778,participating team,participating team
Q705967,Q154053,participating team,participating team
Q166121,Q152424,participating team,participating team
Q101751,Q193386,participating team,participating team
Q8035433,Q748560,participating team,participating team
Q1721,Q478097,contains administrative territorial entity,located in or next to body of water
Q12626,Q215053,contains administrative territorial entity,contains administrative territorial entity
Q1210,Q16163,contains administrative territorial entity,contains administrative territorial entity
Q207199,Q917319,contains administrative territorial entity,located in the administrative territorial entity
Q1216,Q15091,contains administrative territorial entity,contains administrative territorial entity
Q212429,Q14112,contains administrative territorial entity,located on terrain feature
Q38,Q1279,contains administrative territorial entity,contains administrative territorial entity
Q1196,Q2917,contains administrative territorial entity,contains administrative territorial entity
Q854,Q598745,contains administrative territorial entity,contains administrative territorial entity
Q790,Q1434621,contains administrative territorial entity,contains administrative territorial entity
Q244898,Q340192,contains administrative territorial entity,contains administrative territorial entity
Q185586,Q325732,contains administrative territorial entity,said to be the same as
Q183,Q1197,contains administrative territorial entity,contains administrative territorial entity
Q715538,Q2619154,contains administrative territorial entity,contains administrative territorial entity
Q2175,Q7630,contains administrative territorial entity,contains administrative territorial entity
Q889,Q188147,contains administrative territorial entity,contains administrative territorial entity
Q822,Q223643,contains administrative territorial entity,contains administrative territorial entity
Q1454,Q484639,contains administrative territorial entity,contains administrative territorial entity
Q1489,Q1832732,contains administrative territorial entity,contains administrative territorial entity
Q5061,Q14143,contains administrative territorial entity,contains administrative territorial entity
Q752676,Q1279980,contains administrative territorial entity,contains administrative territorial entity
Q244691,Q475422,contains administrative territorial entity,instance of
Q46130,Q828612,contains administrative territorial entity,contains administrative territorial entity
Q766445,Q860662,contains administrative territorial entity,contains administrative territorial entity
Q1211,Q495273,contains administrative territorial entity,contains administrative territorial entity
Q924,Q458388,contains administrative territorial entity,contains administrative territorial entity
Q701,Q9908,contains administrative territorial entity,contains administrative territorial entity
Q1428,Q486401,contains administrative territorial entity,contains administrative territorial entity
Q881,Q25282,contains administrative territorial entity,contains administrative territorial entity
Q34,Q103691,contains administrative territorial entity,contains administrative territorial entity
Q270,Q1671187,contains administrative territorial entity,contains administrative territorial entity
Q20,Q50626,contains administrative territorial entity,contains administrative territorial entity
Q3224,Q820318,contains administrative territorial entity,contains administrative territorial entity
Q31,Q9331,contains administrative territorial entity,subsidiary
Q36074,Q1631867,contains administrative territorial entity,contains administrative territorial entity
Q219,Q2012785,contains administrative territorial entity,contains administrative territorial entity
Q1204,Q108418,contains administrative territorial entity,contains administrative territorial entity
Q1227,Q495398,contains administrative territorial entity,contains administrative territorial entity
Q1104675,Q929927,contains administrative territorial entity,contains administrative territorial entity
Q25,Q505610,contains administrative territorial entity,contains administrative territorial entity
Q1460,Q16208,contains administrative territorial entity,contains administrative territorial entity
Q43255,Q2008056,contains administrative territorial entity,contains administrative territorial entity
Q824,Q484408,contains administrative territorial entity,contains administrative territorial entity
Q1204,Q490989,contains administrative territorial entity,contains administrative territorial entity
Q1527,Q491256,contains administrative territorial entity,contains administrative territorial entity
Q238,Q201368,contains administrative territorial entity,contains administrative territorial entity
Q774,Q842266,contains administrative territorial entity,contains administrative territorial entity
Q205057,Q951287,contains administrative territorial entity,contains administrative territorial entity
Q869,Q237874,contains administrative territorial entity,contains administrative territorial entity
Q392522,Q2438558,contains administrative territorial entity,contains administrative territorial entity
Q924,Q458406,contains administrative territorial entity,has part
Q458,Q191,contains administrative territorial entity,member of
Q1393,Q156213,contains administrative territorial entity,contains administrative territorial entity
Q829,Q26628,contains administrative territorial entity,contains administrative territorial entity
Q54184,Q1130348,contains administrative territorial entity,contains administrative territorial entity
Q37,Q188659,contains administrative territorial entity,contains administrative territorial entity
Q12700,Q1327586,contains administrative territorial entity,contains administrative territorial entity
Q23111,Q642424,contains administrative territorial entity,contains administrative territorial entity
Q1397,Q485558,contains administrative territorial entity,contains administrative territorial entity
Q54155,Q913021,contains administrative territorial entity,contains administrative territorial entity
Q25227,Q26180,contains administrative territorial entity,contains administrative territorial entity
Q833,Q1865,contains administrative territorial entity,contains administrative territorial entity
Q81725,Q2309262,contains administrative territorial entity,contains administrative territorial entity
Q13813,Q39429,contains administrative territorial entity,contains administrative territorial entity
Q869,Q235574,contains administrative territorial entity,contains administrative territorial entity
Q1371,Q495157,contains administrative territorial entity,contains administrative territorial entity
Q218,Q179567,contains administrative territorial entity,contains administrative territorial entity
Q13840,Q76001,contains administrative territorial entity,contains administrative territorial entity
Q1022,Q2099499,contains administrative territorial entity,part of
Q1756241,Q829245,contains administrative territorial entity,located in the administrative territorial entity
Q1205,Q77387,head of government,mother
Q15175,Q198128,head of government,head of government
Q1085,Q712430,head of government,head of government
Q36600,Q356102,head of government,head of government
Q5748,Q3052296,head of government,head of government
Q54140,Q16196435,head of government,head of government
Q2065969,Q317405,head of government,head of government
Q212,Q559607,head of government,head of government
Q20,Q317405,head of government,head of government
Q44756,Q4837851,head of government,head of government
Q759,Q24053,head of government,head of government
Q1263,Q18590052,head of government,head of government
Q34,Q52920,head of government,head of government
Q18124504,Q1058,head of government,successful candidate
Q30,Q9588,head of government,head of government
Q50054,Q22907293,head of government,head of government
Q1428,Q179732,head of government,head of government
Q833,Q57675,head of government,head of government
Q2807,Q19592761,head of government,head of government
Q133083,Q7048706,head of government,head of government
Q127167,Q260693,head of government,head of government
Q49233,Q4984846,head of government,head of government
Q130840,Q540922,head of government,head of government
Q100188,Q267857,head of government,head of government
Q1085,Q890970,head of government,head of government
Q12080459,Q674957,head of government,head of government
Q82185,Q2918769,head of government,head of government
Q60,Q607,head of government,head of government
Q1050,Q57715,head of government,head of government
Q44223982,Q467464,head of government,head of government
Q1197,Q2120880,head of government,head of government
Q103738,Q4977300,head of government,head of government
Q132671,Q520375,head of government,head of government
Q44818,Q4712180,head of government,head of government
Q24879,Q1045675,head of government,head of government
Q5465,Q445654,head of government,head of government
Q671610,Q514395,head of government,head of government
Q35,Q1375737,head of government,head of government
Q580,Q293211,head of government,head of government
Q1022,Q78408,head of government,head of government
Q1588,Q6221385,head of government,head of government
Q16868,Q18589049,head of government,head of government
Q30,Q207,head of government,head of government
Q188810,Q754778,head of government,head of government
Q23197,Q16164719,head of government,head of government
Q37320,Q5486737,head of government,head of government
Q17152,Q12873934,head of government,head of government
Q100188,Q567934,head of government,head of government
Q62,Q5365075,head of government,head of government
Q1630185,Q57775,head of government,head of government
Q1720,Q73788,head of government,head of government
Q183,Q567,head of government,head of government
Q14342265,Q348144,head of government,head of government
Q7443237,Q313805,head of government,head of government
Q3112202,Q188978,head of government,head of government
Q408,Q41563,head of government,head of government
Q907500,Q57641,head of government,head of government
Q61,Q3430687,head of government,head of government
Q1205,Q104678,head of government,head of government
Q30,Q12306,head of government,head of government
Q20,Q164346,head of government,head of government
Q259463,Q27182,head of government,head of government
Q2339595,Q76127,head of government,head of government
Q3741,Q2669342,head of government,screenwriter
Q192334,Q11246486,head of government,head of government
Q1166,Q887111,head of government,head of government
Q817843,Q2379348,head of government,head of government
Q408,Q23375,head of government,head of government
Q1599,Q28811961,head of government,head of government
Q299595,Q30,country of citizenship,residence
Q1749659,Q408,country of citizenship,country of citizenship
Q7331244,Q408,country of citizenship,country of citizenship
Q2979733,Q30,country of citizenship,residence
Q120539,Q183,country of citizenship,country of citizenship
Q186153,Q12544,country of citizenship,country of citizenship
Q313494,Q39473,country of citizenship,residence
Q2732224,Q408,country of citizenship,country of citizenship
Q20031673,Q30,country of citizenship,country of citizenship
Q62881,Q183,country of citizenship,country of citizenship
Q17601283,Q38,country of citizenship,country of citizenship
Q4247217,Q15180,country of citizenship,country of citizenship
Q6777421,Q30,country of citizenship,country of citizenship
Q1189,Q766,country of citizenship,country of citizenship
Q6402888,Q30,country of citizenship,country of citizenship
Q4957212,Q30,country of citizenship,residence
Q173190,Q38,country of citizenship,country of citizenship
Q5004407,Q766,country of citizenship,country of citizenship
Q12487908,Q252,country of citizenship,country of citizenship
Q1228,Q38,country of citizenship,country of citizenship
Q566304,Q183,country of citizenship,country of citizenship
Q35094787,Q902,country of citizenship,country of citizenship
Q175142,Q30,country of citizenship,residence
Q6192905,Q408,country of citizenship,country of citizenship
Q44420,Q38,country of citizenship,residence
Q3704946,Q33946,country of citizenship,country of citizenship
Q369793,Q928,country of citizenship,work location
Q515606,Q15180,country of citizenship,country of citizenship
Q57670,Q869,country of citizenship,country of citizenship
Q1576965,Q183,country of citizenship,country of citizenship
Q138123,Q889,country of citizenship,country of citizenship
Q111840,Q25,country of citizenship,country of citizenship
Q11860,Q38,country of citizenship,country of citizenship
Q172083,Q1000,country of citizenship,country of citizenship
Q57452,Q929,country of citizenship,country of citizenship
Q64709,Q183,country of citizenship,country of citizenship
Q2568535,Q211,country of citizenship,country of citizenship
Q516149,Q218,country of citizenship,country of citizenship
Q3720712,Q20,country of citizenship,residence
Q7613970,Q408,country of citizenship,country of citizenship
Q728569,Q739,country of citizenship,residence
Q77339,Q183,country of citizenship,residence
Q16982523,Q30,country of citizenship,country of citizenship
Q2443428,Q183,country of citizenship,country of citizenship
Q265508,Q38,country of citizenship,country of citizenship
Q309945,Q31,country of citizenship,country of citizenship
Q630556,Q408,country of citizenship,country of citizenship
Q75914,Q183,country of citizenship,residence
Q430407,Q115,country of citizenship,country of citizenship
Q2108126,Q869,country of citizenship,country of citizenship
Q23362,Q408,country of citizenship,country of citizenship
Q18746076,Q974,country of citizenship,work location
Q1680915,Q30,country of citizenship,residence
Q348364,Q38,country of citizenship,country of citizenship
Q3565410,Q41,country of citizenship,country of citizenship
Q192856,Q1008,country of citizenship,residence
Q1798340,Q35,country of citizenship,country of citizenship
Q723237,Q219,country of citizenship,country of citizenship
Q26924594,Q769,country of citizenship,country of citizenship
Q206421,Q41,country of citizenship,country of citizenship
Q2896742,Q30,country of citizenship,country of citizenship
Q333981,Q843,country of citizenship,residence
Q1360773,Q35,country of citizenship,country of citizenship
Q5569175,Q408,country of citizenship,country of citizenship
Q465610,Q30,country of citizenship,residence
Q213791,Q20,country of citizenship,country of citizenship
Q5668687,Q664,country of citizenship,country of citizenship
Q16298687,Q30,country of citizenship,country of citizenship
Q5620528,Q902,country of citizenship,country of citizenship
Q512230,Q236,country of citizenship,country of citizenship
Q30607654,Q501070,original network,original network
Q18712545,Q501070,original network,original network
Q7246056,Q1435969,original network,original network
Q1114459,Q191472,original network,original network
Q1505940,Q178837,original network,original network
Q15618832,Q3587,original network,original network
Q14655473,Q928831,original network,original network
Q2571339,Q3245159,original network,distributor
Q1036895,Q605233,original network,original network
Q7824483,Q2715155,original network,original network
Q1093054,Q605233,original network,publisher
Q28079398,Q386873,original network,original network
Q610525,Q3564882,original network,original network
Q5185668,Q687427,original network,original network
Q221369,Q605233,original network,publisher
Q640327,Q191472,original network,original network
Q17098508,Q476608,original network,original network
Q1247575,Q220072,original network,original network
Q15881102,Q686817,original network,original network
Q4905446,Q3564702,original network,original network
Q5205575,Q1023912,original network,original network
Q19863968,Q212252,original network,original network
Q283393,Q169889,original network,original network
Q2699963,Q166419,original network,original network
Q18636803,Q907311,original network,original network
Q7715552,Q501070,original network,original network
Q3576564,Q731824,original network,original network
Q1763875,Q688333,original network,original network
Q1471726,Q525894,original network,original network
Q216991,Q708290,original network,original network
Q1247186,Q169889,original network,original network
Q2609221,Q169889,original network,original network
Q21824909,Q482607,original network,original network
Q974046,Q1319610,original network,original network
Q3977125,Q1976966,original network,original network
Q5434852,Q1262316,original network,original network
Q7717649,Q1812233,original network,original network
Q16959909,Q330067,original network,original network
Q388392,Q641746,original network,original network
Q232737,Q294660,original network,original network
Q3151548,Q1572845,original network,original network
Q2095316,Q294660,original network,original network
Q5153413,Q169889,original network,original network
Q3052933,Q191472,original network,original network
Q2448875,Q216108,original network,original network
Q19349423,Q482607,original network,original network
Q1427239,Q276542,original network,original network
Q7579660,Q3338942,original network,original network
Q7615342,Q708290,original network,original network
Q4176031,Q131439,original network,original network
Q1315575,Q1522776,original network,original network
Q1595431,Q23589,original network,original network
Q26964753,Q3735740,original network,original network
Q12126821,Q191472,original network,original network
Q3851888,Q13974,original network,original network
Q4927511,Q662814,original network,original network
Q7731540,Q13973,original network,original network
Q24042160,Q15221415,original network,original network
Q7697711,Q191472,original network,original network
Q7301302,Q43404,original network,original network
Q4730185,Q191472,original network,original network
Q1823027,Q43429,original network,original network
Q7503138,Q399643,original network,original network
Q5030523,Q1022955,original network,original network
Q1467607,Q23633,original network,original network
Q6956516,Q2044826,original network,original network
Q18712535,Q767221,original network,original network
Q1429200,Q276542,original network,original network
Q1079,Q294660,original network,original network
Q5379314,Q19558910,heritage designation,heritage designation
Q5331434,Q19558910,heritage designation,heritage designation
Q14713545,Q19558910,heritage designation,heritage designation
Q6972436,Q19558910,heritage designation,heritage designation
Q7294340,Q19558910,heritage designation,heritage designation
Q6520136,Q19558910,heritage designation,heritage designation
Q7305821,Q19558910,heritage designation,heritage designation
Q5223874,Q19558910,heritage designation,heritage designation
Q2485512,Q624232,heritage designation,heritage designation
Q331603,Q9259,heritage designation,heritage designation
Q14712522,Q19558910,heritage designation,heritage designation
Q7326106,Q19558910,heritage designation,heritage designation
Q5499377,Q19558910,heritage designation,heritage designation
Q7741176,Q19558910,heritage designation,heritage designation
Q5623573,Q422211,heritage designation,heritage designation
Q4884152,Q19558910,heritage designation,heritage designation
Q4985746,Q19558910,heritage designation,heritage designation
Q4852866,Q19558910,heritage designation,heritage designation
Q7351161,Q19558910,heritage designation,heritage designation
Q1100749,Q1568567,heritage designation,heritage designation
Q4968882,Q19558910,heritage designation,heritage designation
Q15229648,Q19558910,heritage designation,heritage designation
Q6286567,Q19558910,heritage designation,heritage designation
Q5047560,Q19558910,heritage designation,heritage designation
Q7412868,Q624232,heritage designation,heritage designation
Q5604317,Q19558910,heritage designation,heritage designation
Q7380693,Q19558910,heritage designation,heritage designation
Q25000251,Q19558910,heritage designation,heritage designation
Q8001613,Q19558910,heritage designation,heritage designation
Q4362277,Q624232,heritage designation,heritage designation
Q43083009,Q19558910,heritage designation,heritage designation
Q28834207,Q19558910,heritage designation,heritage designation
Q6253618,Q19558910,heritage designation,heritage designation
Q5644504,Q19558910,heritage designation,heritage designation
Q4811097,Q19558910,heritage designation,heritage designation
Q5345197,Q19558910,heritage designation,heritage designation
Q14706321,Q19558910,heritage designation,heritage designation
Q7102688,Q19558910,heritage designation,heritage designation
Q5429858,Q19558910,heritage designation,heritage designation
Q4943872,Q19558910,heritage designation,heritage designation
Q14314,Q9259,heritage designation,heritage designation
Q5524023,Q9259,heritage designation,heritage designation
Q16892644,Q19558910,heritage designation,heritage designation
Q6237194,Q19558910,heritage designation,heritage designation
Q19817723,Q19558910,heritage designation,heritage designation
Q17511425,Q19558910,heritage designation,heritage designation
Q5050104,Q19558910,heritage designation,heritage designation
Q7296534,Q19558910,heritage designation,heritage designation
Q14683834,Q19558910,heritage designation,heritage designation
Q14692236,Q19558910,heritage designation,heritage designation
Q7858244,Q19558910,heritage designation,heritage designation
Q7183521,Q19558910,heritage designation,heritage designation
Q4999759,Q19558910,heritage designation,heritage designation
Q28007777,Q19558910,heritage designation,heritage designation
Q27958825,Q19558910,heritage designation,heritage designation
Q6705190,Q19558910,heritage designation,heritage designation
Q14712387,Q19558910,heritage designation,heritage designation
Q7842929,Q19558910,heritage designation,heritage designation
Q4966381,Q19558910,heritage designation,heritage designation
Q15192711,Q19558910,heritage designation,heritage designation
Q20708972,Q19558910,heritage designation,heritage designation
Q15242434,Q19558910,heritage designation,heritage designation
Q7357515,Q19558910,heritage designation,heritage designation
Q28153229,Q19558910,heritage designation,heritage designation
Q18205414,Q19558910,heritage designation,heritage designation
Q7081918,Q19558910,heritage designation,heritage designation
Q20856930,Q6663066,performer,performer
Q6976866,Q183048,performer,performer
Q2184058,Q1671633,performer,performer
Q1753919,Q357340,performer,performer
Q5285923,Q448837,performer,composer
Q2915842,Q179157,performer,composer
Q17059278,Q703787,performer,performer
Q837909,Q188492,performer,performer
Q2273964,Q15615,performer,performer
Q4689953,Q110477,performer,performer
Q27637062,Q34424,performer,composer
Q240021,Q11036,performer,performer
Q1933478,Q313627,performer,performer
Q2842940,Q345431,performer,performer
Q28842326,Q20090091,performer,performer
Q1951148,Q272517,performer,performer
Q1754505,Q633,performer,characters
Q2000400,Q185002,performer,performer
Q130716,Q678410,performer,performer
Q3307250,Q613022,performer,performer
Q1943224,Q1569811,performer,performer
Q7310851,Q4037050,performer,followed by
Q7729046,Q7542135,performer,performer
Q173181,Q202741,performer,performer
Q3279345,Q211528,performer,performer
Q3486406,Q48995,performer,performer
Q2007845,Q45354,performer,performer
Q10588988,Q271874,performer,performer
Q7033708,Q209182,performer,performer
Q5505669,Q1459405,performer,composer
Q5418164,Q924298,performer,performer
Q3989582,Q1675003,performer,performer
Q346715,Q216870,performer,composer
Q2532967,Q1120697,performer,performer
Q300968,Q131324,performer,performer
Q6897594,Q466193,performer,head of government
Q1416826,Q286022,performer,performer
Q30598918,Q28561969,performer,performer
Q40935468,Q7560935,performer,performer
Q24954503,Q714,performer,performer
Q19314211,Q181484,performer,performer
Q4041200,Q11036,performer,performer
Q4854600,Q794498,performer,performer
Q5990735,Q3814095,performer,performer
Q5441434,Q873413,performer,performer
Q2732514,Q246352,performer,performer
Q7564559,Q1955333,performer,performer
Q2466691,Q27593,performer,performer
Q4306534,Q13077226,performer,performer
Q7460923,Q312870,performer,performer
Q5556579,Q354121,performer,performer
Q1044727,Q651231,performer,performer
Q1755868,Q188407,performer,performer
Q1050753,Q36844,performer,performer
Q27979,Q146027,performer,performer
Q856852,Q104326,performer,composer
Q2732605,Q485893,performer,performer
Q6424207,Q4768631,performer,performer
Q606302,Q34389,performer,performer
Q7846472,Q2329709,performer,performer
Q16948591,Q927112,performer,performer
Q8057687,Q3555208,performer,performer
Q1449702,Q5085501,performer,composer
Q6495235,Q1813605,performer,performer
Q1072373,Q202741,performer,performer
Q1933003,Q2599,performer,performer
Q1634961,Q318374,performer,performer
Q2453550,Q314704,performer,performer
